chunk_id,title,section,PDF页码,书本页码,是否确认,备注
chunk_szzjys_demo_011,（二）毛泽东的思想政治教育思想,第一章中国共产党成立与思想政治教育的历史开端 / 第三节大革命时期思想政治教育的蓬勃开展 / 三、思想政治教育理论的萌芽 / （二）毛泽东的思想政治教育思想,69,55,是,正文命中 PDF 第 69 页；页脚书本页码为 55。
chunk_szzjys_demo_012,（二）秋收起义和三湾改编,第二章土地革命时期思想政治教育的艰辛探索 / 第一节创建人民军队和农村革命根据地中的思想政治教育 / 一、人民军队初创时期的思想政治教育 / （二）秋收起义和三湾改编,74,60,是,正文命中 PDF 第 74 页；页脚书本页码为 60。跨页 chunk，正文开头在 PDF 74 页；已由原 PDF 75 页修正为起始页。
chunk_szzjys_demo_013,（三）宣传工作的组织领导,第二章土地革命时期思想政治教育的艰辛探索 / 第二节思想政治教育理论的形成 / 二、《古田会议决议》的理论价值 / （三）宣传工作的组织领导,79,65,是,正文命中 PDF 第 79 页；页脚书本页码为 65。
chunk_szzjys_demo_014,（三）《古田会议决议》的深远影响,第二章土地革命时期思想政治教育的艰辛探索 / 第二节思想政治教育理论的形成 / 二、《古田会议决议》的理论价值 / （三）《古田会议决议》的深远影响,83,69,是,正文命中 PDF 第 83 页；页脚书本页码为 69。
chunk_szzjys_demo_015,第三节红军反“围剿”斗争和长征中的思想政治教育,第二章土地革命时期思想政治教育的艰辛探索 / 第三节红军反“围剿”斗争和长征中的思想政治教育,88,74,是,正文命中 PDF 第 88 页；页脚书本页码为 74。
chunk_szzjys_demo_016,（三）加强政治攻势瓦解敌军,第二章土地革命时期思想政治教育的艰辛探索 / 第三节红军反“围剿”斗争和长征中的思想政治教育 / 一、思想政治教育为反“围剿”斗争服务 / （三）加强政治攻势瓦解敌军,92,78,是,正文命中 PDF 第 92 页；页脚书本页码为 78。
chunk_szzjys_demo_017,（二）鼓舞士气提高部队战斗力,第二章土地革命时期思想政治教育的艰辛探索 / 第三节红军反“围剿”斗争和长征中的思想政治教育 / 三、红军长征中的思想政治教育 / （二）鼓舞士气提高部队战斗力,96,82,是,正文命中 PDF 第 96 页；页脚书本页码为 82。
chunk_szzjys_demo_018,第四节时局转换进程中的思想政治教育,第二章土地革命时期思想政治教育的艰辛探索 / 第四节时局转换进程中的思想政治教育,99,85,是,正文命中 PDF 第 99 页；页脚书本页码为 85。
chunk_szzjys_demo_019,（三）促进西安事变和平解决,第二章土地革命时期思想政治教育的艰辛探索 / 第四节时局转换进程中的思想政治教育 / 二、开展争取东北军、西北军的团结教育工作 / （三）促进西安事变和平解决,103,89,是,正文命中 PDF 第 103 页；页脚书本页码为 89。
chunk_szzjys_demo_020,一、发动民众投身抗战,第三章抗日战争时期思想政治教育的日趋成熟 / 第一节全面抗战路线的宣传教育 / 一、发动民众投身抗战,108,94,是,正文命中 PDF 第 108 页；页脚书本页码为 94。
chunk_szzjys_demo_021,三、抗日战略方针的宣传教育,第三章抗日战争时期思想政治教育的日趋成熟 / 第一节全面抗战路线的宣传教育 / 三、抗日战略方针的宣传教育,112,98,是,正文命中 PDF 第 112 页；页脚书本页码为 98。
chunk_szzjys_demo_022,二、抗日战争时期党的干部教育,第三章抗日战争时期思想政治教育的日趋成熟 / 第二节加强党员干部的思想政治教育 / 二、抗日战争时期党的干部教育,117,103,是,正文命中 PDF 第 117 页；页脚书本页码为 103。PDF 117 页正文块可人工查回；自动前缀精确匹配受脚注序号影响。
chunk_szzjys_demo_023,三、抗日军政大学的思想政治教育,第三章抗日战争时期思想政治教育的日趋成熟 / 第二节加强党员干部的思想政治教育 / 三、抗日军政大学的思想政治教育,121,107,是,正文命中 PDF 第 121 页；页脚书本页码为 107。
chunk_szzjys_demo_024,第三节思想政治教育理论形成体系,第三章抗日战争时期思想政治教育的日趋成熟 / 第三节思想政治教育理论形成体系,125,111,是,正文命中 PDF 第 125 页；页脚书本页码为 111。
chunk_szzjys_demo_025,二、思想政治教育若干重要论著的发表,第三章抗日战争时期思想政治教育的日趋成熟 / 第三节思想政治教育理论形成体系 / 二、思想政治教育若干重要论著的发表,130,116,是,正文命中 PDF 第 130 页；页脚书本页码为 116。
chunk_szzjys_demo_026,党的七大与毛泽东思想,第三章抗日战争时期思想政治教育的日趋成熟 / 第三节思想政治教育理论形成体系 / 四、党的七大的思想政治教育理论,135,121,是,正文命中 PDF 第 135 页；页脚书本页码为 121。
chunk_szzjys_demo_027,二、知识分子的思想政治教育与《在延安文艺座谈会上的讲话》,第三章抗日战争时期思想政治教育的日趋成熟 / 第四节马克思主义的中国化与大众化 / 二、知识分子的思想政治教育与《在延安文艺座谈会上的讲话》,141,127,是,正文命中 PDF 第 141 页；页脚书本页码为 127。
chunk_szzjys_demo_028,大生产运动与艰苦创业教育,第三章抗日战争时期思想政治教育的日趋成熟 / 第五节夺取抗战胜利中的思想政治教育 / 一、抗日根据地中的思想政治教育,146,132,是,正文命中 PDF 第 146 页；页脚书本页码为 132。
chunk_szzjys_demo_029,第一节动员全国人民参加解放战争,第四章解放战争时期思想政治教育的成功实践 / 第一节动员全国人民参加解放战争,152,138,推定,正文命中 PDF 第 152 页；该页未印正文页码，书本页码按相邻页连续关系推定为 138。
chunk_szzjys_demo_030,（三）贯彻“向北发展，向南防御”方针,第四章解放战争时期思想政治教育的成功实践 / 第一节动员全国人民参加解放战争 / 一、抗战胜利后的形势与任务教育 / （三）贯彻“向北发展，向南防御”方针,156,142,是,正文命中 PDF 第 156 页；页脚书本页码为 142。
chunk_szzjys_demo_031,（三）参军作战中的思想政治教育,第四章解放战争时期思想政治教育的成功实践 / 第一节动员全国人民参加解放战争 / 二、动员农民参加土改、生产与支前参战 / （三）参军作战中的思想政治教育,160,146,是,正文命中 PDF 第 160 页；页脚书本页码为 146。
chunk_szzjys_demo_032,（二）掀起学生爱国民主运动,第四章解放战争时期思想政治教育的成功实践 / 第一节动员全国人民参加解放战争 / 三、开辟第二条战线中的宣传教育 / （二）掀起学生爱国民主运动,164,150,是,正文命中 PDF 第 164 页；页脚书本页码为 150。
chunk_szzjys_demo_033,（三）新式整军运动,第四章解放战争时期思想政治教育的成功实践 / 第二节人民解放军的思想政治教育 / 一、“打开连队工作之门的三把重要钥匙” / （三）新式整军运动,169,155,是,正文命中 PDF 第 169 页；页脚书本页码为 155。
chunk_szzjys_demo_034,（三）教育改造国民党被俘、起义部队,第四章解放战争时期思想政治教育的成功实践 / 第二节人民解放军的思想政治教育 / 二、瓦解敌军工作和教育改造国民党起义投诚部队 / （三）教育改造国民党被俘、起义部队,173,159,是,正文命中 PDF 第 173 页；页脚书本页码为 159。跨页 chunk，正文开头在 PDF 173 页；已由原 PDF 174 页修正为起始页。
chunk_szzjys_demo_035,（一）整党运动的背景原因,第四章解放战争时期思想政治教育的成功实践 / 第三节解放战争时期的党内教育 / 一、“三查三整”的整党运动 / （一）整党运动的背景原因,179,165,是,正文命中 PDF 第 179 页；页脚书本页码为 165。
chunk_szzjys_demo_036,（二）克服无纪律和无政府状态,第四章解放战争时期思想政治教育的成功实践 / 第三节解放战争时期的党内教育 / 二、政策、纪律和理论教育 / （二）克服无纪律和无政府状态,183,169,是,正文命中 PDF 第 183 页；页脚书本页码为 169。
chunk_szzjys_demo_037,（二）优良传统作风教育,第四章解放战争时期思想政治教育的成功实践 / 第三节解放战争时期的党内教育 / 三、学习贯彻党的七届二中全会精神 / （二）优良传统作风教育,186,172,是,正文命中 PDF 第 186 页；页脚书本页码为 172。
chunk_szzjys_demo_038,（一）新中国思想文化建设的基本原则和纲领,第五章新中国成立初期社会主义思想政治教育的全面推进 / 第一节新中国思想政治教育的确立 / 二、思想政治教育方针政策的制定 / （一）新中国思想文化建设的基本原则和纲领,192,178,是,正文命中 PDF 第 192 页；页脚书本页码为 178。
chunk_szzjys_demo_039,（一）党的各级组织与思想政治教育领导制度的确立,第五章新中国成立初期社会主义思想政治教育的全面推进 / 第一节新中国思想政治教育的确立 / 三、思想政治教育制度、机构和队伍的建立 / （一）党的各级组织与思想政治教育领导制度的确立,195,181,是,正文命中 PDF 第 195 页；页脚书本页码为 181。
chunk_szzjys_demo_040,（三）恢复国民经济斗争中的思想政治教育,第五章新中国成立初期社会主义思想政治教育的全面推进 / 第二节围绕党的主要工作开展思想政治教育 / 一、思想政治教育为巩固新政权和恢复国民经济服务 / （三）恢复国民经济斗争中的思想政治教育,200,186,是,正文命中 PDF 第 200 页；页脚书本页码为 186。
